DT_NOTIFIC,CASOS,ANO,MES,MEDIA_MOVEL,CASOS_LOG,CASOS_LOG_DIFF
2010-01-31,1750,2010,1,2822.6666666666665,3.2430380486862944,-0.48123782091449474
2010-02-28,1418,2010,2,2377.0,3.151676230847048,-0.09136181783924657
2010-03-31,3963,2010,3,2781.6666666666665,3.59802407233419,0.446347841487142
2010-04-30,2964,2010,4,3002.6666666666665,3.4718781993072905,-0.1261458730268994
2010-05-31,2081,2010,5,2168.6666666666665,3.318272080211627,-0.15360611909566346
2010-06-30,1461,2010,6,1532.0,3.1646502159342966,-0.15362186427733038
2010-07-31,1054,2010,7,1133.3333333333333,3.022840610876528,-0.14180960505776863
2010-08-31,885,2010,8,820.6666666666666,2.9469432706978256,-0.07589734017870242
2010-09-30,523,2010,9,577.0,2.718501688867274,-0.2284415818305514
2010-10-31,323,2010,10,355.0,2.509202522331103,-0.2092991665361712
2010-11-30,219,2010,11,255.66666666666666,2.3404441148401185,-0.16875840749098447
2010-12-31,225,2010,12,210.66666666666666,2.3521825181113627,0.011738403271244202
2011-01-31,188,2011,1,188.66666666666666,2.27415784926368,-0.07802466884768267
2011-02-28,153,2011,2,182.66666666666666,2.184691430817599,-0.08946641844608116
2011-03-31,207,2011,3,213.66666666666666,2.315970345456918,0.13127891463931896
2011-04-30,281,2011,4,294.3333333333333,2.44870631990508,0.132735974448162
2011-05-31,395,2011,5,525.3333333333334,2.59659709562646,0.14789077572138032
2011-06-30,900,2011,6,767.0,2.9542425094393248,0.35764541381286463
2011-07-31,1006,2011,7,880.0,3.0025979807199086,0.04835547128058382
2011-08-31,734,2011,8,749.6666666666666,2.8656960599160706,-0.136901920803838
2011-09-30,509,2011,9,547.3333333333334,2.7067177823367587,-0.15897827757931182
2011-10-31,399,2011,10,428.3333333333333,2.6009728956867484,-0.10574488665001036
2011-11-30,377,2011,11,376.3333333333333,2.576341350205793,-0.024631545480955364
2011-12-31,353,2011,12,350.0,2.5477747053878224,-0.028566644817970666
2012-01-31,320,2012,1,339.0,2.505149978319906,-0.042624727067916535
2012-02-29,344,2012,2,432.3333333333333,2.53655844257153,0.031408464251624135
2012-03-31,633,2012,3,571.3333333333334,2.801403710017355,0.26484526744582526
2012-04-30,737,2012,4,975.6666666666666,2.8674674878590514,0.06606377784169615
2012-05-31,1557,2012,5,2166.0,3.1922886125681202,0.3248211247090689
2012-06-30,4204,2012,6,4404.0,3.6236627073562047,0.4313740947880844
2012-07-31,7451,2012,7,5012.666666666667,3.8722145633975855,0.24855185604138086
2012-08-31,3383,2012,8,4116.333333333333,3.5293019977879805,-0.34291256560960504
2012-09-30,1515,2012,9,1936.6666666666667,3.180412632838324,-0.3488893649496565
2012-10-31,912,2012,10,997.6666666666666,2.959994838328416,-0.22041779450990795
2012-11-30,566,2012,11,632.0,2.7528164311882715,-0.20717840714014457
2012-12-31,418,2012,12,496.6666666666667,2.621176281775035,-0.13164014941323643
2013-01-31,506,2013,1,482.6666666666667,2.7041505168397992,0.0829742350647642
2013-02-28,524,2013,2,614.0,2.7193312869837265,0.015180770143927269
2013-03-31,812,2013,3,1263.3333333333333,2.909556029241175,0.19022474225744856
2013-04-30,2454,2013,4,3091.0,3.3898745583909853,0.4803185291498102
2013-05-31,6007,2013,5,5509.333333333333,3.7786576319473553,0.38878307355637
2013-06-30,8067,2013,6,7108.333333333333,3.906712056942964,0.1280544249956086
2013-07-31,7251,2013,7,6760.666666666667,3.860397905127313,-0.046314151815650906
2013-08-31,4964,2013,8,5047.666666666667,3.695831772826692,-0.1645661323006209
2013-09-30,2928,2013,9,3284.0,3.4665710723863543,-0.22926070044033775
2013-10-31,1960,2013,10,2029.0,3.292256071356476,-0.1743150010298784
2013-11-30,1199,2013,11,1319.3333333333333,3.0788191830988487,-0.2134368882576272
2013-12-31,799,2013,12,906.3333333333334,2.902546779313991,-0.17627240378485753
2014-01-31,721,2014,1,765.6666666666666,2.857935264719429,-0.04461151459456225
2014-02-28,777,2014,2,867.0,2.890421018800914,0.03248575408148513
2014-03-31,1103,2014,3,1340.3333333333333,3.0425755124401905,0.15215449363927647
2014-04-30,2141,2014,4,2178.6666666666665,3.3306166672944384,0.28804115485424786
2014-05-31,3292,2014,5,2825.0,3.5174598265402324,0.18684315924579398
2014-06-30,3042,2014,6,2844.3333333333335,3.4831592097169795,-0.034300616823252916
2014-07-31,2199,2014,7,2299.6666666666665,3.3422252293607904,-0.1409339803561891
2014-08-31,1658,2014,8,1775.3333333333333,3.2195845262142546,-0.12264070314653575
2014-09-30,1469,2014,9,1439.6666666666667,3.1670217957902564,-0.05256273042399817
2014-10-31,1192,2014,10,1166.6666666666667,3.076276255404218,-0.09074554038603866
2014-11-30,839,2014,11,949.3333333333334,2.9237619608287004,-0.15251429457551735
2014-12-31,817,2014,12,723.6666666666666,2.9122220565324155,-0.01153990429628493
2015-01-31,515,2015,1,659.6666666666666,2.711807229041191,-0.2004148274912243
2015-02-28,647,2015,2,796.3333333333334,2.8109042806687006,0.09909705162750937
2015-03-31,1227,2015,3,1172.6666666666667,3.0888445627270045,0.2779402820583039
2015-04-30,1644,2015,4,1778.6666666666667,3.215901813204032,0.12705725047702732
2015-05-31,2465,2015,5,2112.0,3.391816923613249,0.17591511040921715
2015-06-30,2227,2015,6,2181.3333333333335,3.347720217034038,-0.04409670657921083
2015-07-31,1852,2015,7,1790.0,3.2676409823459154,-0.08007923468812272
2015-08-31,1291,2015,8,1361.3333333333333,3.1109262422664203,-0.15671474007949504
2015-09-30,941,2015,9,1006.3333333333334,2.973589623427257,-0.13733661883916337
2015-10-31,787,2015,10,788.0,2.8959747323590648,-0.0776148910681922
2015-11-30,636,2015,11,661.3333333333334,2.803457115648414,-0.09251761671065095
2015-12-31,561,2015,12,554.3333333333334,2.748962861256161,-0.05449425439225264
2016-01-31,466,2016,1,614.6666666666666,2.66838591669,-0.08057694456616105
2016-02-29,817,2016,2,2187.6666666666665,2.9122220565324155,0.24383613984241537
2016-03-31,5280,2016,3,7302.333333333333,3.722633922533812,0.8104118660013966
2016-04-30,15810,2016,4,10808.0,4.198931869932209,0.4762979473983968
2016-05-31,11334,2016,5,11559.0,4.054383208305477,-0.14454866162673152
2016-06-30,7533,2016,6,7923.333333333333,3.8769679674325848,-0.17741524087289262
2016-07-31,4903,2016,7,5120.0,3.6904618932461783,-0.1865060741864064
2016-08-31,2924,2016,8,3288.3333333333335,3.465977368285823,-0.22448452496035554
2016-09-30,2038,2016,9,2173.6666666666665,3.3092041796704077,-0.15677318861541512
2016-10-31,1559,2016,10,1632.6666666666667,3.192846115188842,-0.11635806448156583
2016-11-30,1301,2016,11,1335.6666666666667,3.1142772965615864,-0.07856881862725551
2016-12-31,1147,2016,12,1151.0,3.0595634179012676,-0.05471387866031874
2017-01-31,1005,2017,1,1123.6666666666667,3.002166061756508,-0.057397356144759826
2017-02-28,1219,2017,2,1552.3333333333333,3.0860037056183818,0.08383764386187398
2017-03-31,2433,2017,3,2366.3333333333335,3.3861421089308186,0.3001384033124368
2017-04-30,3447,2017,4,3718.0,3.5374412834079476,0.15129917447712904
2017-05-31,5274,2017,5,4418.666666666667,3.7221401254574156,0.18469884204946796
2017-06-30,4535,2017,6,4361.0,3.656577291396114,-0.0655628340613017
2017-07-31,3274,2017,7,3384.3333333333335,3.5150786750759226,-0.14149861632019123
2017-08-31,2344,2017,8,2465.0,3.369957607346053,-0.14512106772986977
2017-09-30,1777,2017,9,2003.6666666666667,3.2496874278053016,-0.12027017954075125
2017-10-31,1890,2017,10,1711.3333333333333,3.2764618041732443,0.026774376367942665
2017-11-30,1467,2017,11,1520.3333333333333,3.166430113843283,-0.1100316903299614
2017-12-31,1204,2017,12,1257.6666666666667,3.0806264869218056,-0.08580362692147725
2018-01-31,1102,2018,1,1067.6666666666667,3.042181594515766,-0.03844489240603943
2018-02-28,897,2018,2,1411.6666666666667,2.952792443044092,-0.08938915147167403
2018-03-31,2236,2018,3,3251.0,3.3494717992143856,0.3966793561702935
2018-04-30,6620,2018,4,6058.666666666667,3.8208579894397,0.47138619022531447
2018-05-31,9320,2018,5,8080.333333333333,3.9694159123539814,0.14855792291428127
2018-06-30,8301,2018,6,8190.333333333333,3.9191304138606142,-0.050285498493367164
2018-07-31,6950,2018,7,6483.333333333333,3.8419848045901137,-0.07714560927050051
2018-08-31,4199,2018,8,4630.333333333333,3.6231458746379395,-0.21883892995217424
2018-09-30,2742,2018,9,3132.0,3.438067450453494,-0.18507842418444564
2018-10-31,2455,2018,10,2426.3333333333335,3.3900514964589874,-0.04801595399450642
2018-11-30,2082,2018,11,2077.0,3.3184807251745174,-0.07157077128446998
2018-12-31,1694,2018,12,1693.0,3.228913405994688,-0.08956731917982941
2019-01-31,1303,2019,1,1606.0,3.1149444157125847,-0.11396899028210328
2019-02-28,1821,2019,2,2324.0,3.26030994579492,0.14536553008233533
2019-03-31,3848,2019,3,3929.0,3.5852350633657752,0.3249251175708552
2019-04-30,6118,2019,4,6110.333333333333,3.78660947264866,0.20137440928288486
2019-05-31,8365,2019,5,7412.0,3.922465945298413,0.1358564726497531
2019-06-30,7753,2019,6,7307.666666666667,3.889469783969507,-0.03299616132890604
2019-07-31,5805,2019,7,5830.0,3.7638022240745928,-0.1256675598949144
2019-08-31,3932,2019,8,4262.666666666667,3.594613509160098,-0.16918871491449483
2019-09-30,3051,2019,9,3210.0,3.484442207642407,-0.11017130151769106
2019-10-31,2647,2019,10,2562.3333333333335,3.422753941301348,-0.06168826634105873
2019-11-30,1989,2019,11,2160.6666666666665,3.2986347831244354,-0.12411915817691277
2019-12-31,1846,2019,12,1352.6666666666667,3.266231696689893,-0.03240308643454215
2020-01-31,223,2020,1,696.6666666666666,2.3483048630481607,-0.9179268336417326
2020-02-29,21,2020,2,87.0,1.3222192947339193,-1.0260855683142414
2020-03-31,17,2020,3,13.666666666666666,1.2304489213782739,-0.09177037335564542
2020-04-30,3,2020,4,,0.47712125471966244,-0.7533276666586115
